id,text
632,З хати (миру) по нитці – сироті свитина (сорочка)
633,З чорної кішки білої не зробиш
634,З чужим і посеред села розставайся
635,З чужого воза хоч серед калюжі
636,З чужого коня серед дороги злазь
637,З чужої торби хліба не жалують
638,"З нічим до млина, впорожні додому"
639,З нього вже не будуть люди
640,"З яким пристаєш, сам таким стаєш"
641,"Иноді густо, та пусто, а иноді рідко, та мітко"
642,Й в погоду часом грім ударить
643,І вві сні не снилося
644,"І вдома мене не лишай, і в поле не бери"
645,"І вже, як чужими пирогами та свого батька поминать"
646,І він колись під школою ночував
647,І волос зав’яв
648,І в світі й в білому не знайдеш
649,І в ус не дме
650,І вусом не моргне
651,І вухом не веде
652,І голова посивіє (поки діждусь)
653,"Ігумену діло, а братії зась"
654,Іде біда – відчиняй ворота
655,Іди під три чорти
656,"Іди помаленьку, доженеш і стареньку"
657,"Їж, коза, лозу, коли сіна немає"
658,"І за соломину хопиться, хто топиться"
659,"Із ворон почали, на сороки перевели"
660,Із грязи у князі
661,"Із його добра, як з козла: ні вовни, ні молока"
662,Із копійки рублі робляться
663,Ізлюдніло усе
664,Із малого манастиря мала й милостиня
665,Із-під стоячого підошву випоре
666,Із пісні слова не викидають
667,Із ради його не викидають
668,Із шкури виринає
669,І кішки в хаті нема
670,"І кози ситі, й сіно ціле"
671,І курці носом нігде клюнуть
672,І ладаном не викуриш
673,І межи капустою доброю буває багацько гнилих качанів
674,"І моя ж душа не з лопуцька, і хоче того, що і людська"
675,І моя душа не з лопуцька
676,І на миру не чути
677,"І наша губа не халява: то ся би з’їла, як і ваша"
678,"І не вгадаєш (стямишся), відкіль вітер повіє"
679,І пари з рота не пустить
680,"І пити – вмерти, і не пити – вмерти, так лучче вже пити вмерти"
681,І новина то така – бодай не чуть
682,І риба не плине проти бистрої води
683,"І сам не гам, і другому не дам"
684,І свині не їдять
685,"І сміх, і біда, і людям сором казати"
686,"І сміх, і гріх"
687,"І сном, і духом не знаю"
688,"І стид говорить, і гріх потаїть"
689,"І сюди боляче, і туди гаряче"
690,І чиряк даремно не сяде – хіба почешеш
691,"І чого б я ліз туди, куди не треба"
692,І я з зубами родився
693,І я колись під школою ночував
694,І я навчуся на сьомій дитині дівочити
695,"Їв би кіт рибу, а в воду не хоче"
696,"Їв би очима, та душа не приймає"
